fold,model_name,horizon,horizon_days,evaluation_type,segment_type,segment_value,mae,rmse,wape,bias,aggregate_bias,actual_sum,forecast_sum,observations,rmsse,rmsse_defined_series,rmsse_undefined_series
validation_fold_2,xgb_tune_06,day_1_daily,1,daily,overall,all,1.0372252543366873,1.8238792623375413,0.5893325308731178,-0.016992155949580288,-5.097646784874087,528.0,522.9023532151259,300,0.4442741100683073,300,0
validation_fold_2,xgb_tune_06,days_1_7_aggregate,7,aggregate,overall,all,4.791428827594816,9.734217742614076,0.33490881833141767,0.20699800685157244,62.09940205547173,4292.0,4354.099402055472,300,0.7227454923964406,300,0
validation_fold_2,xgb_tune_06,days_1_7_daily,7,daily,overall,all,1.276750262457856,2.629974946954201,0.6246914145297058,0.029571143835938916,62.09940205547173,4292.0,4354.099402055472,2100,0.6250825493415586,300,0
validation_fold_2,xgb_tune_06,days_1_30_aggregate,30,aggregate,overall,all,18.161150412255736,37.124584665744116,0.26489425922193316,0.7350301120192793,220.50903360578377,20568.0,20788.509033605784,300,1.2715262877970663,300,0
validation_fold_2,xgb_tune_06,days_1_30_daily,30,daily,overall,all,1.4891949771229127,2.741327922958354,0.6516314077258953,0.024501003733975974,220.50903360578377,20568.0,20788.509033605784,9000,0.7493913955247834,300,0
validation_fold_3,xgb_tune_06,day_1_daily,1,daily,overall,all,1.154630004100812,2.0497529029122927,0.6077000021583221,-0.07063186239916831,-21.189558719750494,570.0,548.8104412802495,300,0.44165109006879805,300,0
validation_fold_3,xgb_tune_06,days_1_7_aggregate,7,aggregate,overall,all,4.782723605815166,8.601282404813093,0.30270402568450416,-0.7833693680982106,-235.01081042946316,4740.0,4504.989189570537,300,0.6883323311733309,300,0
validation_fold_3,xgb_tune_06,days_1_7_daily,7,daily,overall,all,1.378392011390977,2.591684361537257,0.6106800050466353,-0.1119099097283158,-235.01081042946316,4740.0,4504.989189570537,2100,0.6755759300479894,300,0
validation_fold_3,xgb_tune_06,days_1_30_aggregate,30,aggregate,overall,all,18.425737557938167,36.7189818709216,0.2769538186974022,5.311556911883721,1593.4670735651162,19959.0,21552.467073565116,300,1.265740970869721,300,0
validation_fold_3,xgb_tune_06,days_1_30_daily,30,daily,overall,all,1.4984865521546193,2.6628639446946334,0.675704141960598,0.17705189706279068,1593.4670735651162,19959.0,21552.467073565116,9000,0.7476989609051664,300,0
